Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.765,638.714,516.879,146.162,74.9447,24.4393,0.510877,46.267,104.5,114.175,111.722,10.0549,163.407,5.54603,4.1426,0.424508,10.026,7.62598,1.73392,0.282778,0.174917,0.255837,0.683704,0.412712,0.600575,0.424102,1.01329,0.317796,3.36251,0.320847,0.0963883,-0.614716,133.28,58.5647,178.424,-0.518328,-2.48815,58.08822822570801,-9.97104287147522,7.16727,3.4200000762939453,3.17304,-0.129507,1.58534,3.17304,0.129507,2.88622,1171.9,8.026712328,1171.9,8.026712328,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",153.257,667.287,606.053,178.174,104.821,35.4632,7.79577,30.0947,104.482,95.9282,48.5414,4.66327,108.848,5.99949,6.02791,0.664836,6.22762,32.7552,9.95367,0.293991,0.0727445,0.163121,0.445955,0.349096,0.527203,0.370935,0.8763,0.233212,7.19812,0.312973,1.50083,1.29879,110.688,32.6304,141.851,2.79962,2.62834,35.473753452301025,9.723573923110962,6.96403,1.559999942779541,4.36781,0.974284,0.536873,4.36781,-0.974284,4.28417,1019.6,6.664052287,1019.6,6.664052287,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.168,664.302,583.418,158.021,90.5268,30.4052,5.69145,31.3973,102.842,89.401,70.3973,1.78511,150.049,5.68413,4.25673,0.545545,8.68198,16.9496,3.91182,0.270853,0.105972,0.225875,0.469162,0.352693,0.503928,0.366689,0.85662,0.233074,6.21975,0.311705,1.03611,0.504752,107.923,30.2142,144.351,1.54087,-1.60285,35.252471923828125,5.441951155662537,6.4899,6.059999942779541,2.22522,-0.112949,0.641734,2.22522,0.112949,4.14436,963.5,6.338815789,963.5,6.338815789,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",153.006,673.715,536.727,147.586,83.6196,27.3,2.17111,34.4957,106.967,96.1859,128.527,6.63564,112.524,3.97557,3.84527,0.641481,12.9306,8.37394,3.31542,0.274975,0.190773,0.16702,1.14222,0.416133,0.52674,0.403625,0.942874,0.251765,3.84128,0.287359,-1.27108,-1.32133,129.481,50.6708,164.338,-2.59241,-3.16487,48.12248611450195,-11.21221661567688,6.13029,7.75,1.97899,1.46488,1.14001,1.97899,-1.46488,3.47999,1106.9,7.234640522,1106.9,7.234640522,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",145.337,643.051,553.478,158.467,82.9312,29.1432,5.12009,41.2721,112.641,104.503,80.2547,9.99975,146.804,4.86441,3.88122,0.573223,6.85071,33.7369,8.15286,0.286311,0.124803,0.228294,0.546677,0.379135,0.581173,0.402117,0.960308,0.294862,6.93427,0.317357,0.496499,2.19801,122.807,47.584,163.301,2.69451,0,50.3206570148468,-13.774542808532715,5.98716,1.559999942779541,3.81291,-0.25332,0.388256,3.81291,0.25332,4.48232,1127,7.772413793,1127,7.772413793,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mookie Betts","LAD",148.204,651.713,563.644,156.943,93.9468,32.5964,2.90868,27.4913,100.642,90.3505,76.5768,2.30363,88.1564,5.95829,4.97741,0.555744,8.29533,15.2469,3.45326,0.278444,0.117501,0.135269,0.868648,0.367774,0.492918,0.370146,0.860692,0.214475,5.29446,0.285782,0.120162,0.276104,107.691,31.4548,141.308,0.396267,-4.19453,31.89374315738678,2.289511203765869,5.77293,12.579999923706055,2.04049,-0.589742,0.665209,2.04049,0.589742,4.11305,950.9,6.425,950.9,6.425,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"José Ramírez","CLE",152.602,660.954,589.131,161.345,92.6906,36.1507,3.27576,29.2284,94.1462,97.4523,62.5528,10.1003,78.0111,3.07664,5.98813,0.205786,6.64531,30.3127,7.60398,0.27387,0.0946401,0.118028,0.801845,0.343512,0.495192,0.354343,0.838704,0.221322,5.90813,0.270798,0.930496,1.81306,100.812,23.4943,134.286,2.74356,1.31275,28.673283100128174,3.078977346420288,5.55485,4.980000019073486,3.40818,-0.0443878,0.317712,3.40818,0.0443878,4.57638,939.3,6.139215686,939.3,6.139215686,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Yordan Alvarez","HOU",135.665,590.786,503.215,149.985,81.6079,30.4716,1.83692,36.069,88.9804,97.0128,73.3601,9.9128,98.2425,9.43541,4.60405,0.171184,9.59871,3.18022,0.580263,0.298054,0.124174,0.166291,0.746725,0.394133,0.58094,0.409067,0.975073,0.282886,3.32624,0.304991,-0.638513,-0.818272,116.13,47.0214,173.082,-1.45678,-0.87409,47.94555115699768,-14.18167108297348,5.52102,17.6299991607666,2.82028,1.02934,1.40946,2.82028,-1.02934,3.12072,1022.7,7.519852941,1022.7,7.519852941,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Julio Rodríguez","SEA",147.438,640.69,584.087,159.943,103.262,27.6108,2.14378,26.9263,88.6912,83.6373,45.1129,2.99407,153.449,8.19741,2.81069,0.481139,9.38873,27.5166,6.75214,0.273834,0.0704131,0.239506,0.293993,0.3331,0.466746,0.344013,0.799846,0.192912,5.68812,0.327206,0.663702,1.55655,92.3934,17.4468,132.156,2.22025,3.17104,25.792961597442627,5.258670091629028,5.41272,13.880000114440918,2.30579,-0.595597,0.276059,2.30579,0.595597,4.63192,851,5.789115646,851,5.789115646,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",152.984,670.709,595.618,153.034,91.8091,30.3653,2.48632,28.3735,98.0915,87.0348,59.4089,1.41806,127.327,9.97723,4.85307,0.852134,8.32201,24.4245,5.54964,0.256934,0.0885762,0.18984,0.466584,0.332041,0.459175,0.341538,0.791216,0.202241,5.75674,0.280281,0.294848,1.37624,95.3866,16.9283,121.628,1.67109,3.84812,18.643319249153137,10.689824104309082,5.33739,15.1899995803833,3.44687,1.32562,0.635915,3.44687,-1.32562,4.15211,858.2,5.609150326,858.2,5.609150326,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
