Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",11.9153,6.55716,15.2029,2.79472,29.2247,29.2247,0,0,0,173.366,693.62,134.71,58.5156,53.8344,14.2968,47.4072,1.0535,7.00703,215.039,11.1634,2.46106,4.53599,0.742192,0.310024,0.0683476,0.2416761964559555,0.210746,1.05048,0.293784,0.762494,,,2.6994,5.24581,5.3891,11.3100004196167,6.18675,-1.04583,1.65011,6.18675,1.04583,2.79986,1025,5.92485549132948,951,5.497109826589595,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",14.0085,7.10139,15.7099,2.87714,29.4762,29.4762,0,0,0,183.92,726.944,145.869,63.9084,58.7957,17.3339,38.9093,0.765832,6.96025,212.956,10.4209,1.904,5.47314,0.848226,0.292947,0.0535245,0.23942235857248306,0.214174,1.00467,0.285136,0.753033,,,2.82414,5.2006,5.16418,13.920000076293945,3.19518,-0.754054,1.78872,3.19518,0.754054,2.61505,1060.9,5.765760869565218,987,5.364130434782608,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Zack Wheeler","PHI",13.9946,8.04222,17.923,3.28133,30.0617,30.0617,0,0,0,192.092,773.561,158.178,76.1255,70.0355,21.0217,48.2887,1.0092,8.10545,205.197,9.61396,2.26244,4.24937,0.984915,0.265262,0.0624239,0.20283832773566246,0.220559,1.07483,0.279369,0.736239,,,3.33344,4.55793,4.61046,21.020000457763672,2.62441,0.801089,1.29613,2.62441,-0.801089,3.27182,993.7000000000003,5.1755208333333345,929,4.838541666666667,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",12.6931,9.87991,16.5512,3.41374,30.3674,30.3674,0,0,0,196.302,808.398,186.646,80.9328,74.4581,15.0677,44.6337,1.3857,5.88007,167.705,7.68892,2.04636,3.75736,0.69082,0.207454,0.0552126,0.15224116668105125,0.246273,1.17819,0.29834,0.715308,,,3.22767,4.29801,4.20606,100.1500015258789,3.1239,-0.0977526,0.98243,3.1239,0.0977526,3.69009,962.7,4.911734693877551,968,4.938775510204081,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",11.1128,7.23386,11.911,3.20907,29.3746,29.3746,0,0,1.02273,152.771,615.255,121.006,59.2094,54.4726,15.8102,43.9612,2.05475,5.66287,198.854,11.7148,2.58982,4.52339,0.931403,0.323206,0.071452,0.2517535611987114,0.213932,1.07983,0.299732,0.740431,,,2.88303,4.19721,4.03314,24.8799991607666,6.6516,-1.22751,1.12306,6.6516,1.22751,3.50259,868.8000000000001,5.67843137254902,805,5.261437908496732,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Cole Ragans","KCR",11.4351,8.68036,14.725,3.46,29.7546,29.7546,0,0,0,178.457,739.27,147.475,74.5725,68.6067,18.1758,65.5647,2.73298,5.91672,204.678,10.3224,3.30659,3.12177,0.916651,0.276865,0.0886884,0.18817615509033203,0.220841,1.19379,0.290602,0.738123,,,3.39833,3.72785,3.65379,49.02000045776367,2.00255,0.988979,1.10428,2.00255,-0.988979,3.52762,907.5999999999999,5.098876404494382,850,4.775280898876405,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"George Kirby","SEA",12.5321,9.32411,15.1359,3.49848,30.0695,30.0695,0,0,0,180.713,726.008,168.751,76.3554,70.247,21.9708,24.7747,0.856807,6.60578,169.394,8.43628,1.23384,6.83741,1.0942,0.233323,0.0341245,0.19919868186116219,0.242938,1.0709,0.291658,0.719867,,,3.39321,3.65431,3.10299,45.599998474121094,1.831,0.983537,1.16124,1.831,-0.983537,3.45167,871.4000000000002,4.814364640883979,861,4.7569060773480665,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Chris Sale","ATL",11.7488,6.27872,12.7145,3.14146,25.7888,25.7888,0,0,0,154.434,624.988,127.513,58.5927,53.9053,15.6345,39.891,0.752019,8.2996,184.641,10.7604,2.32474,4.62863,0.911139,0.29543,0.0638268,0.23160365968942642,0.22107,1.08398,0.297135,0.747763,,,3.02752,3.60789,3.95493,37.22999954223633,4.24635,0.284907,1.12037,4.24635,-0.284907,3.50617,836.0000000000002,5.42857142857143,788,5.116883116883117,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Framber Valdez","HOU",13.7088,8.36628,15.8894,3.32716,28.6865,28.6865,0,0,0,185.534,767.902,161.232,74.5531,68.5889,16.0963,57.628,0.858204,8.68989,181.579,8.80818,2.79546,3.15088,0.780813,0.236461,0.075046,0.16141532361507416,0.229811,1.17962,0.288019,0.73504,,,3.40928,3.58246,3.97905,61.290000915527344,5.49415,-0.628063,1.15189,5.49415,0.628063,3.46415,924.0000000000001,4.967741935483872,885,4.758064516129032,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Dylan Cease","SDP",12.4341,9.20124,14.2607,3.50538,30.665,30.665,0,0,0,182.059,748.687,145.166,77.0758,70.9098,20.5004,67.6873,1.46502,6.04119,213.918,10.5749,3.34608,3.16038,1.01343,0.285724,0.090408,0.1953158751130104,0.215074,1.16914,0.282983,0.737309,,,3.49525,3.54234,3.70062,47.060001373291016,2.24114,-0.654399,1.14528,2.24114,0.654399,3.47296,917.5,5.041208791208791,843,4.631868131868132,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
