Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.765,638.714,521.247,146.325,71.3985,26.1728,0.596461,48.1573,104.887,118.246,105.809,10.8722,166.634,6.16245,4.57296,0.420989,9.05258,6.04645,2.23319,0.280721,0.165659,0.26089,0.634978,0.404986,0.610388,0.423179,1.01537,0.329666,3.07204,0.315623,,-1.05659,132.806,58.0907,181.457,-1.05659,-4.49,58.47433853149414,-12.340155601501465,6.96361,3.380000114440918,,,,,,,1170.7,8.01849315,1170.7,8.01849315,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",153.257,667.287,606.157,180.102,104.378,36.4275,7.26494,32.0309,109.034,98.0115,48.2041,4.92488,111.268,6.38246,5.76124,0.781764,6.87314,39.4761,8.70994,0.29712,0.0722389,0.166746,0.433227,0.352118,0.539714,0.376902,0.891832,0.242594,7.40855,0.315972,,3.1519,113.893,35.8351,144.443,3.1519,0.34,37.084543228149414,7.435231536626816,6.89525,1.5499999523162842,,,,,,,1058,6.915032679,1058,6.915032679,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.168,664.302,582.276,157.002,88.8341,32.4012,4.73529,31.0314,99.0977,91.7516,71.4799,3.36273,152.553,5.78607,4.26534,0.494967,12.0475,16.201,3.69997,0.269635,0.107601,0.229644,0.468557,0.352916,0.501426,0.365226,0.854342,0.231791,5.818,0.312616,,0.457293,107.141,29.4319,143.322,0.457293,1.17,33.38657587766647,7.972724795341492,6.55857,6.210000038146973,,,,,,,960.1,6.316447368,960.1,6.316447368,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",153.006,673.715,538.329,146.013,82.3121,27.8572,1.67145,34.1726,104.452,93.5679,126.6,7.23894,116.937,4.48094,3.55368,0.751121,15.2434,7.75037,3.09671,0.271234,0.187913,0.173571,1.08263,0.411752,0.519628,0.399116,0.93138,0.248394,3.7528,0.286204,,-1.33117,127.035,48.2255,161.812,-1.33117,-0.31,48.46694314479828,-8.357367098331451,6.4595,7.739999771118164,,,,,,,1091.6,7.134640522,1091.6,7.134640522,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",145.337,643.051,551.791,159.113,82.2754,30.9623,3.69908,42.1765,115.721,109.552,80.5965,10.8127,143.847,5.09982,3.95486,0.603469,8.15341,33.0392,9.31289,0.288358,0.125335,0.223695,0.560292,0.381655,0.587184,0.405108,0.968839,0.298827,6.4092,0.316282,,1.5957,124.355,49.1321,164.03,1.5957,0,50.83288276195526,-13.774515151977539,6.03892,1.5700000524520874,,,,,,,1141.4,7.871724137,1141.4,7.871724137,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mookie Betts","LAD",148.204,651.713,564.364,156.03,94.0926,31.9493,2.91304,27.0749,95.3458,89.2755,74.2992,2.54027,87.0204,7.13057,5.31324,0.605659,8.91966,13.2377,4.37006,0.27647,0.114006,0.133526,0.853814,0.364701,0.487327,0.366581,0.852028,0.210857,4.90081,0.283055,,-0.487614,105.821,29.5848,138.099,-0.487614,-1.33,29.203775465488434,5.154042601585388,5.7898,12.430000305175781,,,,,,,929.8,6.282432432,929.8,6.282432432,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Corey Seager","TEX",126.512,549.301,483.019,137.084,77.0025,27.2513,1.04433,31.7858,77.4423,88.2938,54.7726,7.10794,95.7332,4.70811,4.17736,0.440991,10.588,1.08506,0.445603,0.283807,0.0997133,0.174282,0.572138,0.359563,0.54197,0.380167,0.901533,0.258163,2.45566,0.292758,,-0.984545,95.1985,30.9424,151.225,-0.984545,0.33,31.211285829544067,4.184631198644638,5.54675,49.150001525878906,,,,,,,850.9,6.7,850.9,6.7,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Yordan Alvarez","HOU",135.665,590.786,506.213,148.737,80.1915,29.3858,1.49293,37.6667,90.8027,101.702,69.9289,8.60166,98.8977,8.83495,5.36848,0.440639,9.99259,2.11637,0.735345,0.293823,0.118366,0.1674,0.707084,0.385369,0.580998,0.405281,0.966367,0.287175,3.05375,0.296174,,-1.0612,114.33,45.2211,170.419,-1.0612,-0.09,46.54077708721161,-13.301310390233994,5.46687,17.75,,,,,,,1013.4,7.451470588,1013.4,7.451470588,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Vladimir Guerrero Jr.","TOR",153.689,666.642,587.104,175.904,108.774,32.5174,1.18043,33.432,97.0368,103.38,67.1476,6.73786,92.0819,7.44549,4.43064,0.514011,16.539,5.57315,2.12062,0.299612,0.100725,0.138128,0.729216,0.376049,0.529851,0.385341,0.9059,0.230239,3.39668,0.305719,,-1.13827,118.311,40.3284,156.195,-1.13827,0,41.72633135318756,-11.418601036071777,5.42524,13.979999542236328,,,,,,,1038,6.74025974,1038,6.74025974,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"José Ramírez","CLE",152.602,660.954,591.38,160.056,94.3811,34.1654,3.95111,27.5587,93.3902,89.1443,58.9801,10.1057,75.9061,3.91545,6.11721,0.561079,7.19317,31.3371,9.43869,0.270649,0.0892348,0.114843,0.777015,0.337605,0.481586,0.346528,0.819191,0.210937,6.18764,0.268196,,1.28316,96.654,19.3368,128.789,1.28316,4.9,23.055397272109985,6.666226863861084,5.34513,5.059999942779541,,,,,,,912.3,5.962745098,912.3,5.962745098,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
