Eno,Name,Stuff+
1,Paul Skenes,110
2,Tarik Skubal,111
3,Zack Wheeler,109
4,Corbin Burnes,112
5,Logan Gilbert,101
6,Chris Sale,106
7,Garrett Crochet,113
8,Cole Ragans,108
9,Dylan Cease,111
10,George Kirby,104
11,Gerrit Cole,109
12,Framber Valdez,106
13,Blake Snell,99
14,Jacob deGrom,115
15,Tyler Glasnow,107
16,Max Fried,103
17,Hunter Brown,102
18,Grayson Rodriguez,107
19,Bryce Miller,106
20,Luis Castillo,105
21,Spencer Strider,108
22,Shohei Ohtani,115
23,Roki Sasaki,#N/A
24,Yoshinobu Yamamoto,93
25,Pablo López,94
26,Logan Webb,104
27,Aaron Nola,107
28,Michael King,97
29,Joe Ryan,106
30,Freddy Peralta,99
31,Tanner Bibee,99
32,Bryan Woo,106
33,Hunter Greene,112
34,Spencer Schwellenbach,105
35,Justin Steele,104
36,Shota Imanaga,98
37,Jared Jones,102
38,Zac Gallen,92
39,Ryan Pepiot,107
40,Sonny Gray,95
41,Reynaldo López,97
42,Shane McClanahan,108
43,Kodai Senga,104
44,Clarke Schmidt,105
45,Yusei Kikuchi,101
46,Brandon Pfaadt,102
47,Carlos Rodón,109
48,Robbie Ray,104
49,Luis Gil,107
50,Jack Flaherty,100
51,Cristopher Sánchez,104
52,Sandy Alcantara,110
53,Clay Holmes,124
54,Taj Bradley,108
55,Bailey Ober,93
56,Gavin Williams,99
57,Nathan Eovaldi,100
58,Reese Olson,93
59,Nick Pivetta,105
60,Nick Lodolo,104
61,Spencer Arrighetti,102
62,Tanner Houck,102
63,Kevin Gausman,97
64,Shane Baz,101
65,Seth Lugo,97
66,Yu Darvish,96
67,Zach Eflin,100
68,Luis Severino,108
69,Sean Manaea,99
70,Ranger Suárez,98
71,Nestor Cortes,105
72,MacKenzie Gore,103
73,Mitch Keller,99
74,Jesús Luzardo,98
75,José Soriano,103
76,Kumar Rocker,99
77,Drew Rasmussen,121
78,Luis L. Ortiz,101
78,Brayan Bello,97
79,Bowden Francis,100
80,Max Scherzer,99
81,Jackson Jobe,106
82,Osvaldo Bido,105
83,Grant Holmes,93
84,Ronel Blanco,90
85,Justin Verlander,110
86,Kutter Crawford,100
87,Aaron Civale,108
88,Lucas Giolito,95
89,Frankie Montas,104
90,José Berríos,91
91,Michael Wacha,99
92,Edward Cabrera,99
93,Sean Burke,101
94,Dustin May,110
95,Eury Perez,110
96,Jordan Hicks,103
97,Matthew Boyd,91
98,Jeffrey Springs,93
99,Tobias Myers,97
100,Casey Mize,97
101,Reid Detmers,102
102,David Festa,97
103,David Peterson,94
104,Kyle Harrison,89
105,Mitch Spence,99
106,Hayden Wesneski,97
107,Dean Kremer,98
108,Chris Bassitt,97
109,Walker Buehler,96
110,Andrew Abbott,95
111,Ryan Weathers,101
112,Simeon Woods Richardson,89
113,Merrill Kelly,91
114,Nick Martinez,98
115,Jack Leiter,103
116,Hayden Birdsong,98
117,Tylor Megill,103
118,Davis Martin,95
119,DL Hall,87
120,Tony Gonsolin,90
121,Jameson Taillon,91
122,Zack Littell,94
123,Tomoyuki Sugano,#N/A
124,Randy Vásquez,102
125,Erick Fedde,89
126,Chris Paddack,93
127,DJ Herz,99
128,Charlie Morton,100
129,Brandon Woodruff,106
130,Zebby Matthews,98
131,Slade Cecconi,95
132,Ben Brown,98
133,Bobby Miller,103
134,Joey Cantillo,96
135,Jake Irvin,100
136,Tyler Mahle,87
137,Ryne Nelson,100
138,Marcus Stroman,88
139,Javier Assad,96
140,Paul Blackburn,89
141,Jordan Montgomery,93
142,Joe Boyle,106
143,Tyler Anderson,97
144,Cade Povich,97
145,Keaton Winn,103
146,Matt Waldron,91
147,Max Meyer,92
148,Cody Bradford,87
149,Eduardo Rodriguez,92
150,Triston McKenzie,91
151,Cooper Criswell,96
152,Andre Pallante,97
154,Graham Ashcraft,100
155,Spencer Turnbull,101
156,Bryse Wilson,96
157,Michael Lorenzen,91
158,Steven Matz,93
159,Brady Singer,89
160,Keider Montero,95
160,Kyle Gibson,86
161,Andrew Heaney,95
162,Landon Knack,95
163,Jakob Junis,97
164,Mason Black,98
165,Patrick Sandoval,104
166,Louie Varland,100
167,JP Sears,94
168,Yariel Rodríguez,95
169,Kenta Maeda,93
170,Colin Rea,94
171,Miles Mikolas,92
172,Jack Kochanowicz,97
173,Martín Pérez,86
174,Jose Quintana,89
175,Drew Thorpe,84
176,Joey Estes,99
177,Jon Gray,91
178,Matthew Liberatore,107
179,Shinnosuke Ogasawara,#N/A
180,Jordan Wicks,102
181,Lance Lynn,98
182,Bryce Elder,89
183,Dane Dunning,85
184,Jonathan Cannon,96
185,Christian Scott,103
186,Kyle Bradish,100
187,Carlos Carrasco,86
188,Joe Ross,90
189,Adrian Houser,89
190,Trevor Rogers,92
,Quinn Priester,90
,Jared Koenig,109
,Sawyer Gipson-Long,#N/A
,Mitchell Parker,91
,Ben Lively,84
,Trevor Williams,90
,Alec Marsh,95
,Griffin Canning,89
,Ryan Feltner,91
,Bailey Falter,95
,Austin Gomber,93
,Kyle Hendricks,87
,Kyle Freeland,88
,Emerson Hancock,88
,Jose Urquidy,#N/A
,Roddery Muñoz,98
,Carson Fulmer,90
,Dakota Hudson,87
,Ty Blach,74
,Hogan Harris,95
,José Ureña,93
,Darren McCaughan,89
,Nick Nastrini,93
,Adam Oller,94
,Xzavion Curry,92
,Cal Quantrill,85
,Alex Wood,90
,Ross Stripling,87
,Chris Flexen,83
,Tyler Alexander,100
,Logan Allen,97
,Sixto Sánchez,93
,Valente Bellozo,87
,Carson Spiers,94
,Albert Suárez,88
,Justin Wrobleski,102
,Patrick Corbin,94
,Taijuan Walker,90
,Tyler Phillips,92
,Tommy Henry,86
,Cole Irvin,94
,James Paxton,89
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
