"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","AB","H","R","HR","RBI","SB","OBP","SLG","GP"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","1","FA","30","DET Thu 4:10PM","118","100%","1.34","99%","585","173","112","44","111","32",".386",".597","146"
"*01ub6*","Jose Ramirez","CLE","3B","11","FA","32","@KC Thu 1:10PM","93.89","100%","5.34","99%","603","170","101","32","107","29",".350",".519","154"
"*03ynj*","Juan Soto","NYM","OF","50","FA","26","@HOU Thu 1:10PM","87.77","100%","5.53","99%","552","153","111","36","106","9",".423",".536","154"
"*03pir*","Kyle Tucker","CHC","OF","35","FA","28","@ARI Thu 7:10PM","90.12","100%","8.41","99%","540","154","97","29","103","28",".385",".519","146"
"*02btf*","Mookie Betts","LAD","2B,SS,OF","68","FA","32","DET Thu 4:10PM","85.28","100%","10.84","99%","556","159","108","29","96","15",".377",".516","138"
"*02611*","Francisco Lindor","NYM","SS","24","FA","31","@HOU Thu 1:10PM","91.25","100%","12.91","99%","613","162","107","31","97","25",".341",".480","149"
"*03ojr*","Vladimir Guerrero Jr.","TOR","1B,3B","99","FA","25","BAL Thu 12:07PM","80.46","100%","14.56","99%","614","187","91","30","102","3",".380",".513","156"
"*04355*","Yordan Alvarez","HOU","OF","91","FA","27","NYM Thu 1:10PM","81.27","100%","17.92","99%","531","161","92","36","93","3",".402",".574","138"
"*03wha*","Ronald Acuna Jr.","ATL","OF","157","FA","27","@SD Thu 1:10PM","75.41","100%","25.02","99%","492","140","93","23","62","22",".370",".482","122"
"*02c68*","Trea Turner","PHI","SS","76","FA","31","@WSH Thu 1:05PM","83.38","100%","27.66","99%","633","178","103","22","81","23",".329",".449","151"
"*03cag*","Kyle Schwarber","PHI","OF","69","FA","32","@WSH Thu 1:05PM","84.92","100%","28.41","99%","562","130","106","41","102","5",".357",".489","146"
"*030uc*","Rafael Devers","BOS","3B","116","FA","28","@TEX Thu 1:05PM","79.07","100%","28.88","99%","561","156","89","32","91","4",".359",".522","141"
"*02mwm*","Matt Olson","ATL","1B","77","FA","30","@SD Thu 1:10PM","83.19","100%","30.54","99%","605","155","96","36","113","0",".350",".496","157"
"*01svq*","Manny Machado","SD","3B","85","FA","32","ATL Thu 1:10PM","82.51","100%","33.13","99%","591","164","88","30","109","10",".336",".481","146"
"*03pom*","Austin Riley","ATL","3B","113","FA","27","@SD Thu 1:10PM","79.8","100%","34.32","99%","594","162","99","33","88","2",".343",".507","154"
"*041pz*","Pete Alonso","NYM","1B","73","FA","30","@HOU Thu 1:10PM","83.86","100%","39.76","99%","583","141","94","37","108","4",".335",".482","154"
