ID,Player,Team,Position,RkOv,Status,Age,Opponent,Score,%D,ADP,Ros,IP,QS,SV,HLD,K,ERA,WHIP,GP
*02yc4*,Shohei Ohtani,LAD,"UT,SP",1,FA,30,DET Thu 4:10PM,118,100%,1.34,99%,118,12,0,0,142,3.74,1.153,146
*04n0m*,Logan Gilbert,SEA,SP,6,FA,27,ATH Thu 7:10PM,96.95,100%,29.21,99%,193,21,0,0,203,3.36,1.026,32
*041rd*,Corbin Burnes,ARI,SP,13,FA,30,CHC Thu 7:10PM,93.7,100%,34.48,99%,191,20,0,0,185,3.58,1.168,32
*01uca*,Chris Sale,ATL,SP,15,FA,35,@SD Thu 1:10PM,92.96,100%,38.53,99%,164,19,0,0,196,3.29,1.079,29
*03df2*,Dylan Cease,SD,SP,8,FA,29,ATL Thu 1:10PM,95.72,100%,41.57,99%,183,20,0,0,217,3.49,1.142,32
*04yie*,George Kirby,SEA,SP,22,FA,27,ATH Thu 7:10PM,91.72,100%,48.91,99%,183,20,0,0,165,3.44,1.06,32
*02bqr*,Blake Snell,LAD,SP,12,FA,32,DET Thu 4:10PM,93.86,100%,52,99%,160,20,0,0,216,3.32,1.156,30
*04auj*,Framber Valdez,HOU,SP,10,FA,31,NYM Thu 1:10PM,94.35,100%,58.38,99%,188,20,0,0,190,3.3,1.144,30
*041wv*,Michael King,SD,SP,32,FA,29,ATL Thu 1:10PM,90.71,100%,58.9,99%,173,18,0,0,192,3.64,1.202,30
*05ge9*,Shota Imanaga,CHC,SP,27,FA,31,@ARI Thu 7:10PM,90.98,100%,60.23,99%,178,18,0,0,183,3.59,1.073,29
*05r8n*,Yoshinobu Yamamoto,LAD,SP,43,FA,26,DET Thu 4:10PM,88.69,100%,60.62,99%,159,18,0,0,169,3.17,1.088,26
*02hjp*,Jacob deGrom,TEX,SP,97,FA,36,BOS Thu 1:05PM,80.77,100%,62.69,98%,108,16,0,0,145,2.75,0.88,20
*02i3o*,Aaron Nola,PHI,SP,16,FA,31,@WSH Thu 1:05PM,92.84,100%,63.8,99%,199,18,0,0,197,3.84,1.201,32
*04aea*,Hunter Greene,CIN,SP,44,FA,25,SF Thu 1:10PM,88.5,100%,78.93,99%,162,17,0,0,185,3.5,1.148,28
*0425t*,Bailey Ober,MIN,SP,33,FA,29,@STL Thu 1:15PM,90.65,100%,80.01,99%,173,18,0,0,186,3.69,1.087,30
*03dbm*,Logan Webb,SF,SP,17,FA,28,@CIN Thu 1:10PM,92.46,100%,80.87,99%,204,20,0,0,171,3.44,1.186,32
*03nuc*,Luis Castillo,SEA,SP,18,FA,32,ATH Thu 7:10PM,92.26,100%,81.92,99%,188,18,0,0,193,3.69,1.165,31
*03dc4*,Freddy Peralta,MIL,SP,36,FA,28,@NYY Thu 12:05PM,90.02,100%,90.38,99%,164,18,0,0,194,3.79,1.177,31
*02i2j*,Max Fried,NYY,SP,23,FA,31,MIL Thu 12:05PM,91.27,100%,92.85,99%,174,20,0,0,167,3.31,1.138,30
*05y23*,Tanner Bibee,CLE,SP,31,FA,26,@KC Thu 1:10PM,90.77,100%,95.4,99%,174,18,0,0,189,3.67,1.138,31
*041qo*,Zac Gallen,ARI,SP,39,FA,29,CHC Thu 7:10PM,89.73,100%,96.98,99%,174,18,0,0,181,3.62,1.178,30
*02btx*,Tyler Glasnow,LAD,SP,66,FA,31,DET Thu 4:10PM,85.52,100%,98.48,99%,144,15,0,0,184,3.44,1.028,24
*05144*,Hunter Brown,HOU,SP,34,FA,26,NYM Thu 1:10PM,90.39,100%,99.63,99%,177,17,0,0,201,3.76,1.237,30
*02n96*,Josh Hader,HOU,RP,158,FA,30,NYM Thu 1:10PM,75.26,100%,103.5,99%,68,0,35,0,101,3.31,1.029,70
*0311c*,Devin Williams,NYY,RP,148,FA,30,MIL Thu 12:05PM,76.49,100%,103.86,99%,61,0,37,0,97,2.36,1.049,65
*04pko*,Grayson Rodriguez,BAL,SP,65,FA,25,@TOR Thu 12:07PM,85.62,100%,104.46,99%,160,16,0,0,177,3.71,1.2,27
*0260v*,Sonny Gray,STL,SP,21,FA,35,MIN Thu 1:15PM,91.8,100%,106,99%,179,18,0,0,192,3.57,1.128,30
*04ps7*,Joe Ryan,MIN,SP,42,FA,28,@STL Thu 1:15PM,89.05,100%,106.18,99%,164,16,0,0,193,3.62,1.061,27
*04mlt*,Shane McClanahan,TB,SP,156,FA,27,,75.6,99%,115.67,99%,127,13,0,0,145,3.69,1.197,22
*02c2r*,Carlos Rodon,NYY,SP,67,FA,32,MIL Thu 12:05PM,85.41,100%,116.27,99%,163,16,0,0,185,4.2,1.233,30
*05ucd*,Mason Miller,ATH,RP,190,FA,26,@SEA Thu 7:10PM,71.89,100%,119.1,99%,65,0,30,0,97,3.05,0.985,54
*05gdz*,Roki Sasaki,LAD,SP,106,FA,23,DET Thu 4:10PM,80.23,97%,119.26,98%,138,15,0,0,148,3.46,1.13,24
*03deg*,Justin Steele,CHC,SP,30,FA,29,@ARI Thu 7:10PM,90.84,100%,121.36,99%,171,19,0,0,176,3.37,1.135,30
*02my5*,Edwin Diaz,NYM,RP,212,FA,30,@HOU Thu 1:10PM,70.54,100%,121.85,99%,58,0,33,2,90,3.1,1.017,57
*04a2t*,Kodai Senga,NYM,SP,45,FA,32,@HOU Thu 1:10PM,88.29,99%,124.8,99%,162,16,0,0,198,3.72,1.191,28
*03sef*,Seth Lugo,KC,SP,58,FA,35,CLE Thu 1:10PM,86.23,100%,128.84,98%,185,17,0,0,153,3.79,1.2,30
*05h2u*,Jared Jones,PIT,SP,25,FA,23,@MIA Thu 1:10PM,91.15,100%,129.15,99%,174,17,0,0,215,3.78,1.144,30
*02hi7*,Kevin Gausman,TOR,SP,38,FA,34,BAL Thu 12:07PM,89.87,100%,132.56,99%,180,18,0,0,184,3.85,1.222,31
*03aqv*,Raisel Iglesias,ATL,RP,205,FA,35,@SD Thu 1:10PM,71.05,100%,139.74,98%,65,0,34,0,74,3.05,1,66
*05y62*,Bryan Woo,SEA,SP,88,FA,25,ATH Thu 7:10PM,81.68,99%,140.3,99%,145,17,0,0,132,3.54,1.076,27
*04ml0*,Yusei Kikuchi,LAA,SP,60,FA,33,@CHW Thu 1:10PM,86.12,99%,145.37,97%,160,16,0,0,185,3.94,1.188,28
*04s1h*,Luis Gil,NYY,SP,46,FA,26,MIL Thu 12:05PM,88.07,100%,154.93,98%,167,17,0,0,192,3.88,1.287,30
*03i81*,Reynaldo Lopez,ATL,SP,103,FA,31,@SD Thu 1:10PM,80.37,100%,155.61,99%,137,16,0,0,147,3.61,1.168,26
*02mwk*,Jose Berrios,TOR,SP,62,FA,30,BAL Thu 12:07PM,86,100%,156.95,98%,185,17,0,0,158,4.09,1.222,32
*05t64*,Felix Bautista,BAL,RP,264,FA,29,@TOR Thu 12:07PM,66.43,100%,157.45,98%,55,0,32,0,83,2.95,1.109,51
*02x0f*,Sean Manaea,NYM,SP,61,FA,33,@HOU Thu 1:10PM,86.07,100%,159.82,97%,163,17,0,0,173,3.98,1.196,30
*04cwf*,Shane Baz,TB,SP,75,FA,25,,83.5,99%,161.22,99%,160,16,0,0,159,3.77,1.219,28
*04pr8*,Taj Bradley,TB,SP,47,FA,23,,88.02,100%,167.43,99%,160,16,0,0,204,3.94,1.188,28
*05lg3*,Brandon Pfaadt,ARI,SP,40,FA,26,CHC Thu 7:10PM,89.3,100%,168,99%,178,18,0,0,182,3.99,1.213,32
*05r01*,Robert Suarez,SD,RP,220,FA,34,ATL Thu 1:10PM,69.66,100%,169.35,98%,65,0,37,0,59,3.18,1.046,65
*052c8*,Cristopher Sanchez,PHI,SP,48,FA,28,@WSH Thu 1:05PM,87.82,99%,170.98,99%,171,19,0,0,153,3.47,1.187,30
*04ydi*,Ronel Blanco,HOU,SP,51,FA,31,NYM Thu 1:10PM,87.69,100%,171.27,98%,173,17,0,0,182,3.9,1.243,30
*0512m*,Ryan Pepiot,TB,SP,72,FA,27,,84.35,100%,173.42,98%,148,17,0,0,163,3.65,1.142,28
*025j1*,Robbie Ray,SF,SP,170,FA,33,@CIN Thu 1:10PM,74.19,99%,175.6,95%,126,12,0,0,154,4.21,1.198,24
*0403o*,Andres Munoz,SEA,RP,258,FA,26,ATH Thu 7:10PM,66.97,100%,183.28,98%,59,0,30,2,80,3.05,1.153,61
*02mwq*,Zach Eflin,BAL,SP,81,FA,30,@TOR Thu 12:07PM,82.79,99%,186.61,98%,164,16,0,0,143,3.79,1.122,28
