Name,PL_Rank
Tarik Skubal,1
Garrett Crochet,2
Paul Skenes,3
Zack Wheeler,4
Corbin Burnes,5
Jacob deGrom,6
Logan Gilbert,7
Cole Ragans,8
Michael King,9
George Kirby,10
Gerrit Cole,11
Max Fried,12
Tyler Glasnow,13
Shota Imanaga,14
Joe Ryan,15
Dylan Cease,16
Spencer Strider,17
Chris Sale,18
Blake Snell,19
Yoshinobu Yamamoto,20
Pablo López,21
Justin Steele,22
Bailey Ober,23
Tanner Bibee,24
Bryce Miller,25
Framber Valdez,26
Logan Webb,27
Spencer Schwellenbach,28
Shane McClanahan,29
Roki Sasaki,30
Bryan Woo,31
Grayson Rodriguez,32
Freddy Peralta,33
Sandy Alcantara,34
Luis Castillo,35
Aaron Nola,36
Robbie Ray,37
Sonny Gray,38
Jared Jones,39
Jack Flaherty,40
Shohei Ohtani,41
Hunter Greene,42
Carlos Rodón,43
Kodai Senga,44
Ryan Pepiot,45
Zac Gallen,46
,
Yu Darvish,47
Hunter Brown,48
Seth Lugo,49
Reynaldo López,50
Shane Baz,51
Cristopher Sánchez,52
Ronel Blanco,53
Jeffrey Springs,54
Nathan Eovaldi,55
Spencer Arrighetti,56
,
Dustin May,57
Gavin Williams,58
Bubba Chandler,59
Jackson Jobe,60
Brandon Woodruff,61
Kevin Gausman,62
Lucas Giolito,63
Walker Buehler,64
Jesús Luzardo,65
Drew Rasmussen,66
Bobby Miller,67
Tanner Houck,68
,
Luis Gil,69
Taj Bradley,70
Yusei Kikuchi,71
Nick Lodolo,72
Sean Manaea,73
MacKenzie Gore,74
Grant Holmes,75
Clay Holmes,76
Kumar Rocker,77
Bowden Francis,78
Nick Pivetta,79
Zach Eflin,80
,
Reese Olson,81
Clarke Schmidt,82
Nestor Cortes,83
José Soriano,84
Merrill Kelly,85
Kutter Crawford,86
Matthew Boyd,87
Tobias Myers,88
Kris Bubic,89
,
Edward Cabrera,90
David Festa,91
Hayden Wesneski,92
Brandon Pfaadt,93
DJ Herz,94
Hayden Birdsong,95
Eury Pérez,96
,
Sawyer Gipson-Long,97
Kyle Bradish,98
Cristian Javier,99
Shane Bieber,100
