,Name,POS,Fantrax_Rank,Fantrax_ADP,Dollars,PA,HR,R,RBI,SB,OBP,SLG,OPS,wOBA
0,Shohei Ohtani ,DH,1,1.34,61.0028950643976,643.051,42.1765,115.721,109.552,33.0392,0.381655,0.587184,0.968839,0.405108
1,Juan Soto ,OF,3,5.53,44.6434572776651,673.715,34.1726,104.452,93.5679,7.75037,0.411752,0.519628,0.93138,0.399116
2,Vladimir Guerrero Jr. ,1B/DH,7,14.56,43.69483990746276,666.642,33.432,97.0368,103.38,5.57315,0.376049,0.529851,0.9059,0.385341
3,Yordan Alvarez ,OF/DH,8,17.92,42.09195267957269,590.786,37.6667,90.8027,101.702,2.11637,0.385369,0.580998,0.966367,0.405281
4,José Ramírez ,3B/DH,2,5.34,35.730150211523785,660.954,27.5587,93.3902,89.1443,31.3371,0.337605,0.481586,0.819191,0.346528
5,Ronald Acuña Jr. ,OF,9,25.02,34.95861370061591,519.512,24.6732,91.9079,69.6761,37.1155,0.387703,0.528363,0.916066,0.391954
6,Mookie Betts ,SS/OF,5,10.84,34.82781166400803,651.713,27.0749,95.3458,89.2755,13.2377,0.364701,0.487327,0.852028,0.366581
7,Austin Riley ,3B,15,34.32,34.27302989782624,648.822,33.3214,91.8709,98.3515,1.6642,0.342714,0.507802,0.850516,0.362665
8,Rafael Devers ,3B,12,28.88,32.19499189604673,628.509,32.2955,84.054,97.9424,3.24953,0.346332,0.502206,0.848538,0.35981
9,Kyle Tucker ,OF,4,8.41,31.30356802341552,640.255,26.9616,89.9207,90.0812,20.3767,0.361814,0.481956,0.843769,0.361436
10,Corey Seager ,SS,18,43.26,30.6620334147346,549.301,31.7858,77.4423,88.2938,1.08506,0.359563,0.54197,0.901533,0.380167
11,Francisco Lindor ,SS,6,12.91,29.790811608689918,670.709,28.6604,92.5822,85.0946,21.8481,0.33002,0.459389,0.78941,0.340247
12,Pete Alonso ,1B,16,39.76,28.90594107368037,659.219,36.0213,84.4015,96.8216,3.18938,0.327167,0.471568,0.798736,0.343032
13,Matt Olson ,1B,13,30.54,28.870613516206276,665.094,32.6033,88.0343,95.8248,0.517811,0.340413,0.467464,0.807877,0.346574
14,Julio Rodríguez ,OF,5261,-,28.797712456583756,640.69,27.2094,90.2074,84.1905,29.2115,0.335548,0.474603,0.810151,0.347525
15,Oneil Cruz ,SS/OF,21,55.73,27.068773175559024,613.046,28.0119,85.7298,83.412,22.9292,0.321082,0.466043,0.787125,0.336924
16,Matt Chapman ,3B,36,96.69,25.129816587708863,624.422,30.288,83.9197,85.3672,7.43185,0.326695,0.471517,0.798212,0.343282
17,Kyle Schwarber ,DH,11,28.41,24.963638254124906,657.264,33.7758,86.846,94.7976,4.10889,0.342055,0.443911,0.785966,0.342112
