,Name,Fantrax_Rank,Fantrax_ADP,Dollars,IP,ERA,WHIP,K/9,QS,SV,K-BB%,PL_Rank,Eno,Stuff+
0,Logan Gilbert,2,29.21,30.463124781868167,194.103,3.38958,1.03408,9.25531,16.1965,0.0,0.2070086635649204,7.0,5.0,101.0
1,George Kirby,6,48.91,23.215245568084647,180.713,3.49848,1.0709,8.43628,15.1359,0.0,0.1991986818611621,10.0,10.0,104.0
2,Chris Sale,4,38.53,22.852592524760603,154.434,3.14146,1.08398,10.7604,12.7145,0.0,0.2316036596894264,18.0,6.0,106.0
3,Framber Valdez,8,58.38,20.9236527735662,185.534,3.32716,1.17962,8.80818,15.8894,0.0,0.1614153236150741,26.0,12.0,106.0
4,Dylan Cease,5,41.57,20.627274444360605,182.059,3.50538,1.16914,10.5749,14.2607,0.0,0.1953158751130104,16.0,9.0,111.0
5,Logan Webb,16,80.87,20.323647891570054,196.302,3.41374,1.17819,7.68892,16.5512,0.0,0.1522411666810512,27.0,26.0,104.0
6,Corbin Burnes,3,34.48,19.73105945630868,187.222,3.54585,1.16585,8.86073,16.093,0.0,0.1699355840682983,5.0,4.0,112.0
7,Blake Snell,7,52,18.80136236973501,156.507,3.33964,1.17234,11.6502,13.2745,0.0,0.2087581530213356,19.0,13.0,99.0
8,Luis Castillo,17,81.92,18.08741323591554,181.783,3.65006,1.15046,9.04325,14.4674,0.0,0.1770310774445533,35.0,20.0,105.0
9,Luis Castillo,1744,-,18.08741323591554,181.783,3.65006,1.15046,9.04325,14.4674,0.0,0.1770310774445533,35.0,20.0,105.0
10,Shota Imanaga,10,60.23,17.64503990015223,171.152,3.62862,1.1171,8.97017,13.0557,0.0,0.1926509328186512,14.0,36.0,98.0
11,Yoshinobu Yamamoto,11,60.62,16.901154939422227,153.241,3.42764,1.1112,9.51706,11.6474,0.0,0.1977123618125915,20.0,24.0,93.0
12,Joe Ryan,28,106.18,16.499747983972465,160.939,3.82635,1.0843,9.86893,12.3215,0.0,0.2179499231278896,15.0,29.0,106.0
13,Tyler Glasnow,22,98.48,16.32407948434912,132.904,3.4225,1.07669,11.1276,11.3721,0.0,0.2348542064428329,13.0,15.0,107.0
14,Sonny Gray,27,106,16.253106066095555,164.513,3.54223,1.15716,9.62168,12.8409,0.0,0.1925382018089294,38.0,40.0,95.0
15,Max Fried,19,92.85,15.960989182321162,167.005,3.40836,1.17743,8.50243,13.6369,0.0,0.1588404923677444,12.0,16.0,103.0
16,Jacob deGrom,12,62.69,15.876185960712617,110.458,3.05012,1.0044,11.2576,9.45075,0.0,0.2604353949427604,6.0,14.0,115.0
17,Justin Steele,33,121.36,15.800523138206222,168.145,3.4654,1.17692,8.72603,13.5014,0.0,0.1683917567133903,22.0,35.0,104.0
18,Tanner Bibee,20,95.4,15.60784933821647,170.278,3.67421,1.1484,9.49887,11.9338,0.0,0.1921654865145683,24.0,31.0,99.0
19,Aaron Nola,13,63.8,15.36321188627413,187.488,3.89021,1.16657,8.89436,14.7872,0.0,0.1822783462703228,36.0,27.0,107.0
20,Michael King,9,58.9,14.981252880309832,169.759,3.53185,1.20181,9.88058,12.2557,0.0885221,0.1806091144680977,9.0,28.0,97.0
21,Bailey Ober,15,80.01,14.93867853157058,171.087,3.94982,1.11301,9.2745,12.846,0.0,0.1953210160136222,23.0,55.0,93.0
22,Freddy Peralta,18,90.38,13.573119870260763,167.545,3.79283,1.1825,10.2927,12.2522,0.0,0.1894179061055183,33.0,30.0,99.0
23,Roki Sasaki,32,119.26,12.65758684969972,131.214,3.4603,1.13081,10.5128,10.5912,0.0,0.2071627303957939,30.0,23.0,
24,Reynaldo López,43,155.61,12.24201950736955,156.127,3.56119,1.19775,9.57376,11.4616,0.0187689,0.1773327067494392,50.0,41.0,97.0
25,Zach Eflin,56,186.61,11.9460071583613,171.093,3.84803,1.15418,7.59945,13.1634,0.0,0.1655656620860099,80.0,67.0,100.0
26,Zac Gallen,21,96.98,11.856000421565398,171.396,3.77874,1.2087,9.01741,13.3295,0.0,0.1677908822894096,46.0,38.0,92.0
27,Bryan Woo,40,140.3,11.854806373033709,137.326,3.66885,1.07659,8.55058,9.98166,0.0,0.1857398115098476,31.0,32.0,106.0
28,Mason Miller,31,119.1,11.502987366491666,66.1346,2.79436,1.02719,12.9169,3.5338e-05,27.7357,0.2747290208935737,,,
29,Mason Miller,4435,-,11.502987366491666,66.1346,2.79436,1.02719,12.9169,3.5338e-05,27.7357,0.2747290208935737,,,
30,Cristopher Sánchez,51,170.98,11.379572290853144,169.128,3.60248,1.21796,7.76312,13.4996,0.0,0.1438672095537185,52.0,51.0,104.0
31,Kevin Gausman,38,132.56,11.334770825605512,180.454,3.88137,1.23165,8.99466,14.751,0.0,0.1711056232452392,62.0,63.0,97.0
32,Shane McClanahan,29,115.67,11.3139286652827,134.276,3.48641,1.15722,9.69946,10.9476,0.0,0.1882373094558715,29.0,42.0,108.0
33,Grayson Rodriguez,26,104.46,10.83607048297944,156.489,3.71787,1.20672,9.7202,11.8524,0.0,0.1833767518401146,32.0,18.0,107.0
34,Edwin Díaz,34,121.85,10.78199856810532,64.2126,3.01357,1.08087,12.9063,0.0,33.6575,0.2654348537325859,,,
35,Hunter Greene,14,78.93,10.75843526844133,151.279,3.89533,1.17196,10.5775,11.1513,0.0,0.1962295696139335,42.0,33.0,112.0
36,Hunter Brown,23,99.63,10.533530274237664,168.632,3.75237,1.25214,9.58216,13.6154,0.0,0.1705619916319847,48.0,17.0,102.0
37,Yusei Kikuchi,41,145.37,10.36869056622725,170.648,3.93765,1.21455,10.0235,11.7569,0.0,0.1955452114343643,71.0,45.0,101.0
38,Nathan Eovaldi,58,187.64,9.757415895234049,158.835,3.89422,1.18158,8.66726,12.4978,0.0,0.1689587831497192,55.0,57.0,100.0
39,Seth Lugo,36,128.84,9.56452495229018,182.73,3.93325,1.22869,7.92146,14.4332,0.044473,0.1482411026954651,49.0,65.0,97.0
40,Nick Pivetta,59,195.58,9.209301766451429,148.563,3.98823,1.164,10.2247,10.4766,0.000968049,0.2021767571568489,79.0,59.0,105.0
41,Raisel Iglesias,39,139.74,9.075786482286617,66.5835,3.15169,1.08998,9.71915,0.0,33.8232,0.2079229280352592,,,
42,Josh Hader,24,103.5,9.035594031195432,62.5168,3.21518,1.09984,12.5874,0.0,33.1101,0.2476380839943885,,,
43,Carlos Rodón,30,116.27,8.77343808237552,160.701,4.12194,1.19365,10.0736,12.1202,0.0,0.1903129965066909,43.0,47.0,109.0
44,Taj Bradley,48,167.43,8.30869966912251,160.374,3.95979,1.21583,9.66491,11.3206,0.0,0.1808271408081054,70.0,54.0,108.0
45,Jared Jones,37,129.15,8.20531659388146,161.162,3.93936,1.21915,9.32083,11.6826,0.0,0.1690107360482216,39.0,37.0,102.0
46,Ryan Pepiot,53,173.42,7.907781652552543,150.877,3.94469,1.19188,9.41085,10.7841,0.0,0.1685070320963859,45.0,39.0,107.0
47,Félix Bautista,45,157.45,7.837017411697308,55.2959,2.69543,1.0956,13.0115,0.0,27.0359,0.2551486790180206,,,
48,Devin Williams,25,103.86,7.789425198339929,58.2563,2.86862,1.15449,12.2445,0.0,31.3479,0.2175796255469322,,,
49,Andrés Muñoz,55,183.28,7.561089828811892,59.6333,2.73126,1.11909,11.4885,0.0,26.6193,0.2175173982977867,,,
50,Brandon Woodruff,62,202.95,7.4865571052602515,124.004,3.72969,1.1553,9.60917,9.95933,0.0,0.1912116408348083,61.0,129.0,106.0
51,Shohei Ohtani,1,1.34,7.471159195248704,110.951,3.52475,1.14124,10.5207,8.53678,0.0,0.202406495809555,41.0,22.0,115.0
52,Tanner Houck,57,187.12,7.331020267052565,170.811,3.87147,1.23809,7.94414,11.9063,0.0501945,0.1390387937426567,68.0,62.0,102.0
53,Kodai Senga,35,124.8,6.778090294183225,150.338,3.7204,1.27626,9.90938,10.9665,0.0,0.1562048569321632,44.0,43.0,104.0
54,Ranger Suárez,65,219.4,6.7134714733407606,157.196,3.70675,1.25222,8.13727,11.0958,0.0,0.1410123631358146,,70.0,98.0
55,Jeff Hoffman,110,313.15,6.329732357169182,62.0191,3.08476,1.11777,11.1503,0.0,25.2877,0.2202269434928894,,,
56,Brandon Pfaadt,49,168,6.31897664127691,155.625,4.034,1.20536,9.06129,10.1905,0.0,0.1848682910203933,93.0,46.0,102.0
57,Robbie Ray,54,175.6,6.2108689133887385,142.495,3.97143,1.21864,10.0284,10.6251,0.0,0.1828783005475998,37.0,48.0,104.0
58,José Berríos,44,156.95,5.5869780680022165,185.315,4.21837,1.24258,7.72807,14.1689,0.0,0.1377717852592468,,90.0,91.0
59,Drew Rasmussen,100,297.5,5.222524190946599,105.195,3.3683,1.13217,8.77999,6.19335,0.0966918,0.1801748797297477,66.0,77.0,121.0
60,Jeffrey Springs,78,246.26,5.143665387941769,131.476,3.82228,1.19792,9.00193,9.09639,0.0,0.1725993528962135,54.0,98.0,93.0
61,Michael Wacha,71,231.31,4.874059769677515,162.059,4.01148,1.23732,7.85416,11.4284,0.0,0.1398263052105903,,91.0,99.0
62,Sean Manaea,46,159.82,4.601194279876253,146.829,4.10198,1.21626,9.08175,10.5504,0.00116002,0.1607238501310348,73.0,69.0,99.0
63,Nick Lodolo,68,222,4.593854821964928,135.958,3.98375,1.21996,9.75054,9.70061,0.0,0.1824101656675338,72.0,60.0,104.0
64,Tanner Scott,85,260.29,4.29258860931512,65.6381,2.95754,1.22835,11.0145,0.0,21.2945,0.1802292168140411,,,
65,Jesús Luzardo,86,262.94,4.244451513735971,143.143,4.07217,1.22658,9.22345,10.5894,0.0,0.165465161204338,65.0,74.0,98.0
66,Chris Bassitt,81,250.82,4.051288792798527,174.504,4.09937,1.2833,8.29752,12.8932,0.0,0.1374147459864616,,108.0,97.0
67,Bowden Francis,60,198.5,3.8279390285555945,140.561,4.15744,1.16699,8.34624,8.69104,0.00460422,0.1611118987202644,78.0,79.0,100.0
68,Reese Olson,84,258.16,3.7063109732340567,140.683,3.9107,1.23981,8.38576,10.1928,0.0,0.1463475525379181,81.0,58.0,93.0
69,Yu Darvish,67,221.86,3.693415221207663,132.762,4.09526,1.18366,8.68916,9.59043,0.0,0.1661287248134613,47.0,66.0,96.0
70,Max Scherzer,137,363.05,3.408443255152669,104.682,3.8832,1.13168,9.20974,8.22531,0.0,0.1865650787949562,,80.0,99.0
71,Ronel Blanco,52,171.27,3.350970124223967,160.666,4.11397,1.26696,8.87467,10.8644,0.0,0.1350408867001533,53.0,84.0,90.0
72,Robert Suarez,50,169.35,2.964294101618881,61.0186,3.5221,1.17425,8.904,0.0,26.7436,0.1617118343710899,,,
73,Clay Holmes,119,331.77,2.8804337633338712,135.135,3.66985,1.29896,8.53735,8.95626,2.30248,0.1329902932047844,76.0,53.0,124.0
74,Mitch Keller,63,205.83,2.879496367645771,179.75,4.24195,1.28346,8.27039,12.8777,0.0,0.1450484842061996,,73.0,99.0
75,Erick Fedde,73,234.69,2.8586103112921126,168.021,4.08324,1.2689,7.85567,10.8784,0.0,0.1347126439213752,,125.0,89.0
76,Merrill Kelly,82,251.87,2.745209596591716,153.042,4.08628,1.2591,8.20731,11.1482,0.0,0.1411542892456054,85.0,113.0,91.0
77,Griffin Jax,124,338.34,2.249613457917756,65.3616,3.15636,1.08512,10.5358,0.199577,6.96684,0.2236440479755401,,,
78,Jason Adam,145,380.88,2.248470827844125,65.7216,3.13235,1.07867,10.295,0.0,6.72544,0.2009638026356697,,,
79,Shane Baz,47,161.22,2.222045421200882,138.404,4.04599,1.2429,8.49062,9.86017,0.0,0.1408297196030616,51.0,64.0,101.0
